ClassName           neutron~blast
WeaponClass         Energy
ProjectileImage     0
MaxFuel             11
Acceleration        -1.5
// When homing locked supply extra boost
HLAccelBoost        0
TractorForce       -1.5
SpinAcceleration    0
SpinFrictionRatio   0
TerminalProximity   3
StartTimeTillHot    2
ShieldDamage        60
HullDamage          48
Size                14
BlastExists         True
// Size / 2
InitialBlastSize    7
DeltaBlastSize      1
BlastTimeLength     1
FrictionRatio       1
Homing              False
LockOnRange         0
Colour              &HFF0000
InitialVelocity     30
JetstreamType       -1
JetstreamInitSize   -1
JetstreamDeltaSize  -1
JetstreamLastTime   -1
EffectiveRange      400
Sound               10
Frequency           0
Volume              0.08
BlastVolume         0.07
