ClassName           torpedo
WeaponClass         Rocket
ProjectileImage     5
MaxFuel             1000
Acceleration        7
// When homing locked supply extra boost
HLAccelBoost        2
TractorForce        -80
SpinAcceleration    1.4
SpinFrictionRatio   0.99
TerminalProximity   3
StartTimeTillHot    2
ShieldDamage        650
HullDamage          700
Size                39
BlastExists         True
// Size / 2
InitialBlastSize    14
DeltaBlastSize      2
BlastTimeLength     5
FrictionRatio       0.995
Homing              True
LockOnRange         1500
Colour              &HFFFFFFFF
InitialVelocity     5
JetstreamType       -1
JetstreamInitSize   4
JetstreamDeltaSize  -0.7
JetstreamLastTime   4
EffectiveRange      1500
Sound               10
Frequency           0
Volume              0.2
BlastVolume         0.1
