ClassName           mighty~sperm
WeaponClass         Energy
ProjectileImage     0
MaxFuel             200
Acceleration        6
// When homing locked supply extra boost
HLAccelBoost        3
TractorForce        -2.5
SpinAcceleration    4
SpinFrictionRatio   0.98
TerminalProximity   3
StartTimeTillHot    2
ShieldDamage        500
HullDamage          200
Size                40
BlastExists         True
// Size / 2
InitialBlastSize    5
DeltaBlastSize      1
BlastTimeLength     10
FrictionRatio       0.9985
Homing              True
LockOnRange         500
Colour              &H0000FF
InitialVelocity     20
JetScatter          6
JetInitialColour    &HFF2000
JetFinalColour      0
JetLastTime         20
EffectiveRange      400
Sound               8
Frequency           2000
Volume              0.2
BlastVolume         0.1
