ClassName           heavy~repulsor~beam
WeaponClass         Beam
ProjectileImage     -1
MaxFuel             70
Acceleration        60
// When homing locked supply extra boost
HLAccelBoost        0
TractorForce        -30
SpinAcceleration    30
SpinFrictionRatio   0.99
TerminalProximity   0
StartTimeTillHot    3
ShieldDamage        0.5
HullDamage          0
Size                3
BlastExists         False
InitialBlastSize    0
DeltaBlastSize      0
BlastTimeLength     0
FrictionRatio       0.99
Homing              True
LockOnRange         2000
Colour              &H3020B040
InitialVelocity     20
JetScatter          -1
JetInitialColour    -1
JetFinalColour      -1
JetLastTime         -1
EffectiveRange      1500
Sound               4
Frequency           1000
Volume              0.05
BlastVolume         0
