ClassName           laser~blast
WeaponClass         Energy
ProjectileImage     4
MaxFuel             18
Acceleration        -0.4
// When homing locked supply extra boost
HLAccelBoost        0
TractorForce        -1.0
SpinAcceleration    0
SpinFrictionRatio   0
TerminalProximity   3
StartTimeTillHot    2
ShieldDamage        30
HullDamage          12
Size                10
BlastExists         True
// Size / 2
InitialBlastSize    5
DeltaBlastSize      1
BlastTimeLength     1
FrictionRatio       1
Homing              False
LockOnRange         0
Colour              &HFF00
InitialVelocity     32
JetstreamType       -1
JetstreamInitSize   -1
JetstreamDeltaSize  -1
JetstreamLastTime   -1
EffectiveRange      400
Sound               9
Frequency           0
Volume              0.08
BlastVolume         0.03
