ClassName           repulsor~beam
WeaponClass         Beam
ProjectileImage     -1
MaxFuel             30
Acceleration        35
// When homing locked supply extra boost
HLAccelBoost        0
TractorForce        -15
SpinAcceleration    30
SpinFrictionRatio   0.99
TerminalProximity   0
StartTimeTillHot    3
ShieldDamage        0
HullDamage          0
Size                1
BlastExists         False
InitialBlastSize    0
DeltaBlastSize      0
BlastTimeLength     0
FrictionRatio       0.99
Homing              True
LockOnRange         1000
Colour              &H6050B050
InitialVelocity     20
JetstreamType       -1
JetstreamInitSize   -1
JetstreamDeltaSize  -1
JetstreamLastTime   -1
EffectiveRange      500
Sound               4
Frequency           10000
Volume              0.08
BlastVolume         0
