ClassName           electric~beam
WeaponClass         Beam
ProjectileImage     -2
MaxFuel             30
Acceleration        42
// When homing locked supply extra boost
HLAccelBoost        0
TractorForce        -2.5
SpinAcceleration    36
SpinFrictionRatio   0.99
TerminalProximity   0
StartTimeTillHot    3
ShieldDamage        20
HullDamage          5
Size                1
BlastExists         True
InitialBlastSize    1
DeltaBlastSize      1
BlastTimeLength     4
FrictionRatio       0.99
Homing              True
LockOnRange         1000
Colour              &H803030B0
InitialVelocity     20
JetstreamType       -1
JetstreamInitSize   -1
JetstreamDeltaSize  -1
JetstreamLastTime   -1
EffectiveRange      500
Sound               4
Frequency           10000
Volume              0.04
BlastVolume         0.002
