ClassName           mega~blast
WeaponClass         Energy
ProjectileImage     2
MaxFuel             60
Acceleration        -0.6
// When homing locked supply extra boost
HLAccelBoost        10
TractorForce        -1.0
SpinAcceleration    5
SpinFrictionRatio   0.99
TerminalProximity   3
StartTimeTillHot    2
ShieldDamage        80
HullDamage          60
Size                20
BlastExists         True
// Size / 2
InitialBlastSize    10
DeltaBlastSize      1
BlastTimeLength     1
FrictionRatio       1
Homing              True
LockOnRange         100
Colour              &HFF0000
InitialVelocity     40
JetstreamType       -1
JetstreamInitSize   -1
JetstreamDeltaSize  -1
JetstreamLastTime   -1
EffectiveRange      700
Sound               9
Frequency           10000
Volume              0.2
BlastVolume         0.12
