ClassName           bullet
WeaponClass         Projectile
ProjectileImage     3
MaxFuel             20
Acceleration        0
// When homing locked supply extra boost
HLAccelBoost        0
TractorForce        -0.5
SpinAcceleration    0
SpinFrictionRatio   0
TerminalProximity   3
StartTimeTillHot    2
ShieldDamage        10
HullDamage          20
Size                5
BlastExists         True
// Size / 2
InitialBlastSize    3
DeltaBlastSize      1
BlastTimeLength     2
FrictionRatio       0.998
Homing              False
LockOnRange         0
Colour              &HFFFFFF
InitialVelocity     60
JetstreamType       -1
JetstreamInitSize   -1
JetstreamDeltaSize  -1
JetstreamLastTime   -1
EffectiveRange      400
Sound               10
Frequency           0
Volume              0.02
BlastVolume         0.01
