ClassName                  Transporter
SpeciesSpecific            0
GovernmentSpecific         0
ShipImage                  0
MaxShield                  2000
MaxHull                    260
MaxFuel                    2400
MaxCloak                   700
MaxBattery                 500
BatteryReGenerateValue     8
BatteryReGenerateFuelCost  1
CloakDrainRate             3
CloakRechargePowerCost     10
CloakRechargeValue         1
ShieldRechargePowerCost    1
ShieldRechargeValue        5
SpinFrictionRatio          0.99
Acceleration               0.3
AfterburnerAcceleration    1
SpinAcceleration           0.03
FrictionRatio              0.9997
Size                       140
Mass                       14
HyperspaceCruiseSpeed      800
HyperspaceAccel            5
DefaultGunTypes            3,1,1,-1,-1,4
GunPositionsX              0,-12,12,-27,27,0
GunPositionsY              57,17,17,-12,-12,0
