ClassName                  Krait~Interceptor
SpeciesSpecific            0
GovernmentSpecific         0
ShipImage                  3
MaxShield                  1500
MaxHull                    250
MaxFuel                    2000
MaxCloak                   1
MaxBattery                 200
BatteryReGenerateValue     5
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    2
ShieldRechargeValue        5
SpinFrictionRatio          0.99
Acceleration               0.5
AfterburnerAcceleration    2
SpinAcceleration           0.4
FrictionRatio              0.9995
Size                       70
Mass                       7
HyperspaceCruiseSpeed      480
HyperspaceAccel            5
DefaultGunTypes            8,1,1
GunPositionsX              0,-13,13
GunPositionsY              18,-6,66,6
RadarSearchDegs            250
RadarSpeed                 200
RadarRange                 10000
