ClassName                  Kestryl~FE
SpeciesSpecific            0
GovernmentSpecific         1
ShipImage                  12
MaxShield                  2000
MaxHull                    330
MaxFuel                    5400
MaxCloak                   1
MaxBattery                 1600
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        15
SpinFrictionRatio          0.99
Acceleration               0.6
AfterburnerAcceleration    5
SpinAcceleration           0.1
FrictionRatio              0.99945
Size                       110
Mass                       9
HyperspaceCruiseSpeed      400
HyperspaceAccel            5
DefaultGunTypes            1,1,12
GunPositionsX              -11,11,0
GunPositionsY              12,12,0
