ClassName                  The~Flying~Phallas
SpeciesSpecific            0
GovernmentSpecific         3
ShipImage                  13
MaxShield                  5000
MaxHull                    1000
MaxFuel                    10000
MaxCloak                   1
MaxBattery                 5000
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        15
SpinFrictionRatio          0.99
Acceleration               0.7
AfterburnerAcceleration    1.2
SpinAcceleration           0.5
FrictionRatio              0.9995
Size                       150
Mass                       9
HyperspaceCruiseSpeed      400
HyperspaceAccel            5
DefaultGunTypes            13
GunPositionsX              0
GunPositionsY              20
