ClassName                  Eye~of~the~Storm
SpeciesSpecific            0
GovernmentSpecific         3
ShipImage                  14
MaxShield                  1000
MaxHull                    200
MaxFuel                    10000
MaxCloak                   200
MaxBattery                 5000
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        15
SpinFrictionRatio          0.95
Acceleration               2
AfterburnerAcceleration    1.2
SpinAcceleration           4
FrictionRatio              0.9995
Size                       100
Mass                       5
HyperspaceCruiseSpeed      400
HyperspaceAccel            5
DefaultGunTypes            4,4,4,4,4,4,4,4
GunPositionsX              0,0,0,0,0,0,0,0
GunPositionsY              40,40,40,40,40,40,40,4040
RadarSearchDegs            250
RadarSpeed                 200
RadarRange                 10000
