ClassName                  Midori
SpeciesSpecific            0
GovernmentSpecific         5
ShipImage                  16
MaxShield                  1500
MaxHull                    300
MaxFuel                    10000
MaxCloak                   600
MaxBattery                 5000
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        15
SpinFrictionRatio          0.95
Acceleration               2
AfterburnerAcceleration    1.2
SpinAcceleration           1
FrictionRatio              0.9995
Size                       230
Mass                       5
HyperspaceCruiseSpeed      400
HyperspaceAccel            5
DefaultGunTypes            3,2,3,14,14
GunPositionsX              -5,4,+5,-2,2
GunPositionsY              40,45,40,0,0
RadarSearchDegs            250
RadarSpeed                 200
RadarRange                 10000
