ClassName                  Frigate
SpeciesSpecific            0
GovernmentSpecific         0
ShipImage                  4
MaxShield                  6000
MaxHull                    2500
MaxFuel                    18000
MaxCloak                   2000
MaxBattery                 10000
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             10
CloakRechargePowerCost     10
CloakRechargeValue         3
ShieldRechargePowerCost    5
ShieldRechargeValue        20
SpinFrictionRatio          0.98
Acceleration               1.5
AfterburnerAcceleration    10
SpinAcceleration           0.09
FrictionRatio              0.9995
Size                       200
Mass                       20
HyperspaceCruiseSpeed      520
HyperspaceAccel            5
DefaultGunTypes            9,10,10,6,11
GunPositionsX              0,-60,60,0,0
GunPositionsY              58,2,2,-40,582,-40,58,40,40
RadarSearchDegs            250
RadarSpeed                 200
RadarRange                 10000
