ClassName                  Stealth~Fighter
SpeciesSpecific            0
GovernmentSpecific         0
ShipImage                  1
MaxShield                  3500
MaxHull                    420
MaxFuel                    6000
MaxCloak                   700
MaxBattery                 2000
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             3
CloakRechargePowerCost     10
CloakRechargeValue         1
ShieldRechargePowerCost    1
ShieldRechargeValue        12
SpinFrictionRatio          0.99
Acceleration               0.33
AfterburnerAcceleration    5
SpinAcceleration           0.06
FrictionRatio              0.9995
Size                       120
Mass                       12
HyperspaceCruiseSpeed      520
HyperspaceAccel            5
DefaultGunTypes            11,1,1,4
GunPositionsX              0,-12,12,0
GunPositionsY              19,-3,-3,0
