ClassName                  Dark~Stealth~Fighter
SpeciesSpecific            0
GovernmentSpecific         1
ShipImage                  2
MaxShield                  3500
MaxHull                    390
MaxFuel                    6000
MaxCloak                   700
MaxBattery                 2000
BatteryReGenerateValue     12
BatteryReGenerateFuelCost  1
CloakDrainRate             3
CloakRechargePowerCost     10
CloakRechargeValue         1
ShieldRechargePowerCost    1
ShieldRechargeValue        15
SpinFrictionRatio          0.99
Acceleration               0.35
AfterburnerAcceleration    5
SpinAcceleration           0.06
FrictionRatio              0.99945
Size                       110
Mass                       11
HyperspaceCruiseSpeed      495
HyperspaceAccel            5
DefaultGunTypes            11,3,3,2,2
GunPositionsX              0,-12,12,-31,31
GunPositionsY              19,-3,-3,-37,-37
