ClassName                  Narly~Ship
SpeciesSpecific            1
GovernmentSpecific         -1
ShipImage                  6
MaxShield                  300
MaxHull                    100
MaxFuel                    1200
MaxCloak                   1
MaxBattery                 200
BatteryReGenerateValue     5
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        2
SpinFrictionRatio          0.97
Acceleration               0.15
AfterburnerAcceleration    0.8
SpinAcceleration           0.4
FrictionRatio              0.9992
Size                       59
Mass                       5.9
HyperspaceCruiseSpeed      345
HyperspaceAccel            5
DefaultGunTypes            3,0,0,-1,-1,-1
GunPositionsX              0,-5,5,0,0,0
GunPositionsY              8,8,8,0,0,0
