ClassName                  Rebel~Escort~Carrier
SpeciesSpecific            0
GovernmentSpecific         1
ShipImage                  7
MaxShield                  300
MaxHull                    1000
MaxFuel                    12000
MaxCloak                   200
MaxBattery                 700
BatteryReGenerateValue     5
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        2
SpinFrictionRatio          0.97
Acceleration               0.15
AfterburnerAcceleration    0.8
SpinAcceleration           0.4
FrictionRatio              0.9992
Size                       280
Mass                       28
HyperspaceCruiseSpeed      345
HyperspaceAccel            5
DefaultGunTypes            3,4,4
GunPositionsX              0,-5,5
GunPositionsY              8,8,8
