ClassName                  Cruiser
SpeciesSpecific            0
GovernmentSpecific         1
ShipImage                  8
MaxShield                  4000
MaxHull                    2400
MaxFuel                    12000
MaxCloak                   400
MaxBattery                 700
BatteryReGenerateValue     5
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        2
SpinFrictionRatio          0.96
Acceleration               0.4
AfterburnerAcceleration    0.8
SpinAcceleration           0.4
FrictionRatio              0.999
Size                       220
Mass                       22
HyperspaceCruiseSpeed      280
HyperspaceAccel            5
DefaultGunTypes            2,0,0,1,1,10
GunPositionsX              0,-15,15,-75,75,0
GunPositionsY              25,25,25,-12,-12,0
