ClassName                  Superrocket
SpeciesSpecific            1
GovernmentSpecific         -1
ShipImage                  9
MaxShield                  1300
MaxHull                    1000
MaxFuel                    4000
MaxCloak                   700
MaxBattery                 700
BatteryReGenerateValue     5
BatteryReGenerateFuelCost  1
CloakDrainRate             1
CloakRechargePowerCost     0
CloakRechargeValue         0
ShieldRechargePowerCost    1
ShieldRechargeValue        2
SpinFrictionRatio          0.95
Acceleration               0.6
AfterburnerAcceleration    0.8
SpinAcceleration           0.4
FrictionRatio              0.9997
Size                       70
Mass                       7
HyperspaceCruiseSpeed      345
HyperspaceAccel            5
DefaultGunTypes            10
GunPositionsX              0
GunPositionsY              20
