Name                            Kalnas
Kind                            0
System                          2
X                               6000
Y                               1500
Size                            1600
Image                           0
SpinSpeed                       0.01
GravitationalFieldStrength      28
GravGeometricRatio              0.999
MaxGravityAcceleration          0.4
DescriptionIndex                0
// confed = 0
Government                      0
Landable                        True      True
